No.Inscripción,comentarios,Nombre,TIPO,LOCALIDAD,DIRECCIÓN,UPZ,TELEFONO,FECHA-DE- INSCRIPCION
480,,JARDÍN INFANTIL NUEVOS TIMANQUITOS,JSDIS,SUBA,KR 125 B 132 B 51,TIBABUYES,6080572,2/03/2007482,,JARDÍN INFANTIL TRINIDAD GALAN,JSDIS,PUENTE ARANDA,CL 4 B 59 80,SAN RAFAEL,2619277 - 2904089,2/03/2007
482,,JARDÍN INFANTIL TRINIDAD GALAN,JSDIS,PUENTE ARANDA,CL 4 B 59 80,SAN RAFAEL,2619277 - 2904089,2/03/2007483,,JARDÍN INFANTIL SANTA ROSA DE LIMA,JSDIS,SANTA FE,CL 1 D SUR 6 03 ESTE,LOURDES,2336180 - 2336737,2/03/2007
483,,JARDÍN INFANTIL SANTA ROSA DE LIMA,JSDIS,SANTA FE,CL 1 D SUR 6 03 ESTE,LOURDES,2336180 - 2336737,2/03/2007485,,JARDÍN INFANTIL MANITAS,JSDIS,CIUDAD BOLÍVAR,CL 70 B SUR 18 J 39,LUCERO,7909600,2/03/2007
485,,JARDÍN INFANTIL MANITAS,JSDIS,CIUDAD BOLÍVAR,CL 70 B SUR 18 J 39,LUCERO,7909600,2/03/2007486,,JARDÍN INFANTIL LA CHUCUA,JSDIS,SUBA,CL 131 C 100 44,EL RINCÓN,6847308,2/03/2007
486,,JARDÍN INFANTIL LA CHUCUA,JSDIS,SUBA,CL 131 C 100 44,EL RINCÓN,6847308,2/03/2007488,,JARDÍN INFANTIL EL TRIUNFO,JSDIS,SANTA FE,CL 1 BIS B 1 B 69,LOURDES,2801188,2/03/2007
488,,JARDÍN INFANTIL EL TRIUNFO,JSDIS,SANTA FE,CL 1 BIS B 1 B 69,LOURDES,2801188,2/03/2007491,,JARDÍN INFANTIL EL RUBY,JSDIS,SUBA,CL 128 A BIS A 92 72,EL RINCÓN,6817707,2/03/2007
491,,JARDÍN INFANTIL EL RUBY,JSDIS,SUBA,CL 128 A BIS A 92 72,EL RINCÓN,6817707,2/03/2007492,,JARDÍN INFANTIL COLINAS,JS,"RAFAEL URIBE URIBE",KR 13 B 31 G 40 SUR,SAN JOSÉ,2784053,2/03/2007
492,,JARDÍN INFANTIL COLINAS,JS,"RAFAEL URIBE URIBE",KR 13 B 31 G 40 SUR,SAN JOSÉ,2784053,2/03/2007493,,JARDÍN INFANTIL RONDAS Y JUEGOS,JSDIS,TUNJUELITO,KR 11 A 52 54 SUR,TUNJUELITO,2051128,2/03/2007
493,,JARDÍN INFANTIL RONDAS Y JUEGOS,JSDIS,TUNJUELITO,KR 11 A 52 54 SUR,TUNJUELITO,2051128,2/03/2007494,,JARDÍN INFANTIL SAN MARCOS,JSDIS,ENGATIVÁ,KR 80 A 67 10,BOYACÁ REAL,4303877,2/03/2007
494,,JARDÍN INFANTIL SAN MARCOS,JSDIS,ENGATIVÁ,KR 80 A 67 10,BOYACÁ REAL,4303877,2/03/2007496,,JARDÍN INFANTIL GOTICAS DE ROCIO,JSDIS,SANTA FE,CL 3 5 B 54 ESTE,LOURDES,6758141,2/03/2007
496,,JARDÍN INFANTIL GOTICAS DE ROCIO,JSDIS,SANTA FE,CL 3 5 B 54 ESTE,LOURDES,6758141,2/03/2007497,,JARDÍN INFANTIL COMUNEROS NORTE,JSDIS,SUBA,CL 140 A 111 B 30,EL RINCÓN,5 361972 6907330,2/03/2007
497,,JARDÍN INFANTIL COMUNEROS NORTE,JSDIS,SUBA,CL 140 A 111 B 30,EL RINCÓN,5 361972 6907330,2/03/2007498,,JARDÍN INFANTIL LA ESTANCIA MIS PRIMERAS LETRAS,JSDIS,CIUDAD BOLÍVAR,KR 75 H 59 A 18 SUR,"ISMAEL PERDOMO",7783140,2/03/2007
498,,JARDÍN INFANTIL LA ESTANCIA MIS PRIMERAS LETRAS,JSDIS,CIUDAD BOLÍVAR,KR 75 H 59 A 18 SUR,"ISMAEL PERDOMO",7783140,2/03/2007499,,JARDÍN INFANTIL PIJAOS,JSDIS,"RAFAEL URIBE URIBE",KR 10 B 35 02 SUR,SAN JOSÉ,3617903 - 3716903,2/03/2007
499,,JARDÍN INFANTIL PIJAOS,JSDIS,"RAFAEL URIBE URIBE",KR 10 B 35 02 SUR,SAN JOSÉ,3617903 - 3716903,2/03/2007501,,JARDÍN INFANTIL SANTA ROSITA LAS VEGAS,JSDIS,CIUDAD BOLÍVAR,TV 49 C 75 A 60 SUR,JERUSALEM,4559104,2/03/2007
501,,JARDÍN INFANTIL SANTA ROSITA LAS VEGAS,JSDIS,CIUDAD BOLÍVAR,TV 49 C 75 A 60 SUR,JERUSALEM,4559104,2/03/2007503,,JARDÍN INFANTIL SAN ISIDRO LOS CARIÑOSITOS,JSDIS,SAN CRISTÓBAL,CL 35 A SUR 6 A 15,20 DE JULIO,3613803,2/03/2007
503,,JARDÍN INFANTIL SAN ISIDRO LOS CARIÑOSITOS,JSDIS,SAN CRISTÓBAL,CL 35 A SUR 6 A 15,20 DE JULIO,3613803,2/03/2007504,,JARDÍN INFANTIL MARCO A. IRIARTE,JSDIS,"RAFAEL URIBE URIBE",KR 21 23 21 SUR,QUIROGA,2785025 - 2392601,2/03/2007
504,,JARDÍN INFANTIL MARCO A. IRIARTE,JSDIS,"RAFAEL URIBE URIBE",KR 21 23 21 SUR,QUIROGA,2785025 - 2392601,2/03/2007505,,JARDÍN INFANTIL LOS NIÑOS TRAVIESOS,JSDIS,CIUDAD BOLÍVAR,CL 63 B SUR 18 11,LUCERO,7906849,2/03/2007
505,,JARDÍN INFANTIL LOS NIÑOS TRAVIESOS,JSDIS,CIUDAD BOLÍVAR,CL 63 B SUR 18 11,LUCERO,7906849,2/03/2007506,,JARDÍN INFANTIL LAS LOMAS,JSDIS,"RAFAEL URIBE URIBE",DG 38 F 11 B 24 SUR,"MARCO FIDEL SUÁREZ",3728423 - 2785192,2/03/2007
506,,JARDÍN INFANTIL LAS LOMAS,JSDIS,"RAFAEL URIBE URIBE",DG 38 F 11 B 24 SUR,"MARCO FIDEL SUÁREZ",3728423 - 2785192,2/03/2007507,,JARDÍN INFANTIL OLAYA,JSDIS,RAFAEL URIBE URIBE,KR 26 A 41 46 SUR,QUIROGA,2051361,2/03/2007
507,,JARDÍN INFANTIL OLAYA,JSDIS,RAFAEL URIBE URIBE,KR 26 A 41 46 SUR,QUIROGA,2051361,2/03/2007508,,JARDÍN INFANTIL JJ RONDON ALTO DE LA CRUZ,JSDIS,CIUDAD BOLÍVAR,TV 22 68 K 22 SUR,"SAN FRANCISCO",2652338,2/03/2007
508,,JARDÍN INFANTIL JJ RONDON ALTO DE LA CRUZ,JSDIS,CIUDAD BOLÍVAR,TV 22 68 K 22 SUR,"SAN FRANCISCO",2652338,2/03/2007509,,JARDÍN INFANTIL LOS PRINCIPITOS,JSDIS,"RAFAEL URIBE URIBE",CL 49 B BIS SUR 5 U 15,MARRUECOS,"7367260 - 5689596 7694685",2/03/2007
509,,JARDÍN INFANTIL LOS PRINCIPITOS,JSDIS,"RAFAEL URIBE URIBE",CL 49 B BIS SUR 5 U 15,MARRUECOS,"7367260 - 5689596 7694685",2/03/2007510,,JARDÍN INFANTIL ESTRADA SATELITE,JSDIS,ENGATIVÁ,KR 69 N 64 07,LAS FERIAS,2406340,2/03/2007
510,,JARDÍN INFANTIL ESTRADA SATELITE,JSDIS,ENGATIVÁ,KR 69 N 64 07,LAS FERIAS,2406340,2/03/2007511,,JARDÍN INFANTIL SAMORE,JSDIS,"RAFAEL URIBE URIBE",CL 41 SUR 31 77,QUIROGA,2708080,2/03/2007
511,,JARDÍN INFANTIL SAMORE,JSDIS,"RAFAEL URIBE URIBE",CL 41 SUR 31 77,QUIROGA,2708080,2/03/2007513,,JARDÍN INFANTIL MI PEQUEÑA CASITA,JSDIS,RAFAEL URIBE URIBE,DG 48 Q SUR 5 Z 20,DIANA TURBAY,5678928 - 7608070,2/03/2007
